threat_type,count
Agriculture & Aquaculture,227
Biological Resource Use,153
Unknown,107
Natural System Modifications,103
Commercial Development,86
Invasive Species,81
Energy Production & Mining,45
Climate Change,34
Human Intrusions,20
Geological Events,18
Pollution,14
Transportation Corridor,11
